Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
248,,40,248,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,7680,0,113418,159744,71,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Gigabit Ethernet,10G Ethernet,North America,Americas
249,,40,249,,"Cluster Platform SL230s Gen8, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,6656,0,112403.7,143770,78.18,0,0,,,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
250,,40,250,SuperMike-II,"Dell PowerEdge C6220, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",Louisiana State University,Dell,United States,2012,Academic,7040,0,110930,146432,75.76,1060000,0,200,554.65,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Dell PowerEdge C6220,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,North America,Americas
251,160,33,28,,"Fujitsu FX1, Quadcore  SPARC64 VII  2.52 GHz, Infiniband DDR",JAXA,Fujitsu,Japan,2009,Research,12032,0,110600,121282,91.19,3308800,0,1020,108.43,Cluster,SPARC64 VII 4C 2.500GHz,Sparc,2500,Open Solaris,Unix,None,4,SPARC64 VII,Fujitsu FX1,Fujitsu Cluster,Infiniband,Infiniband DDR,Eastern Asia,Asia
252,161,39,161,Aurora,"Eurotech Aurora, Xeon X5690 6C 3.470GHz, Infiniband QDR, NVIDIA 2090",E-Security - Selex Elsag,Eurotech,Italy,2012,Industry,9760,2560,110526,206336,53.57,467040,0,,,Cluster,Xeon X5690 6C 3.470GHz,Intel Nehalem,3470,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Eurotech Aurora,Eurotech Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
253,,40,253,Beacon,"Appro GreenBlade GB824M, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",National Institute for Computational Sciences/University of Tennessee,Appro International,United States,2012,Academic,9216,8640,110500,157547.52,70.14,1023840,0,45.11,2449.57,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5,Appro GreenBlade GB824M,Appro Cluster,Infiniband,Infiniband FDR,North America,Americas
254,,40,254,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
255,,40,255,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
256,,40,256,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
257,,40,257,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
258,,40,258,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
259,,40,259,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
260,,40,260,,"iDataPlex DX360M3, Xeon E5-2670 8C 2.600GHz, 10G Ethernet",Financial Services (H),IBM,United States,2012,Industry,19504,0,109906,405683,27.09,0,0,405.13,271.29,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,10G Ethernet,North America,Americas
261,162,38,102,Curie hybrid,"Bullx B505, Xeon E5640 2.67 GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2011,Research,5040,3920,109900,198161.6,55.46,428646,0,,,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,NVIDIA 2090,4,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
262,163,39,163,,"HP DL180se, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",Web Company (F),Hewlett-Packard,United States,2012,Industry,20520,0,109594.3,218333,50.2,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL180se,HP Cluster,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
263,,40,263,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,8000,0,109504,166400,65.81,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
264,,40,264,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United States,2012,Industry,8000,0,109504,166400,65.81,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
265,,40,265,,"Cluster Platform 3000 BL460c G7, Xeon L5640 6C 2.26GHz, Gigabit Ethernet",Cerner Corp.,Hewlett-Packard,United States,2012,Industry,24000,0,109332.2,216960,50.39,0,0,,,Cluster,Xeon L5640 6C 2.260GHz,Intel Nehalem,2260,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
266,164,34,37,,"SGI Altix ICE 8200 Enhanced LX, Xeon Nehalem quad core 2.8 GHz",US Army Research Laboratory (ARL),SGI,United States,2009,Research,10752,0,109300,120422.4,90.76,1908480,0,475,230.11,MPP,Xeon X5560 4C 2.800GHz,Intel Nehalem,2800,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,North America,Americas
267,166,39,166,,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",Arrow Enterprise Computing Solutions,Hewlett-Packard,United States,2012,Industry,20436,0,109182.2,217439,50.21,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
268,167,38,105,Lattice,"DL170/SL390 , Xeon E5649 2.53GHz/L5520 4C 2.26GHz, Infiniband QDR, NVIDIA 2070",Compute Canada/WestGrid/University of Calgary,Hewlett-Packard,Canada,2011,Academic,13672,2520,108701,193514.08,56.17,0,0,,,Cluster,Xeon L5520 4C 2.260GHz,Intel Nehalem,2260,Linux,Linux,NVIDIA 2070,4,Xeon 5500-series (Nehalem-EP),DL170/SL390 ,HP Cluster Platform 3000,Infiniband,Infiniband QDR,North America,Americas
269,,40,269,,"Cluster Platform 3000 BL460c G7, Xeon E5620 4C 2.400GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,22440,0,108558.2,215424,50.39,0,0,,,Cluster,Xeon E5620 4C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,4,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
270,168,35,45,GENCI-CCRT-Titane,BULL Novascale R422-E2,Commissariat a l'Energie Atomique (CEA)/CCRT,Bull SA,France,2010,Research,11520,0,108500,129998,83.46,1714176,0,477,227.46,Cluster,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),NovaScale R422-E2,Bull Cluster,Infiniband,Infiniband DDR,Western Europe,Europe
271,,40,271,,"xSeries x3550M3 Cluster, Xeon E5649 6C 2.530GHz, Gigabit Ethernet",Service Provider,IBM,United States,2012,Industry,19236,0,108395,194668,55.68,0,0,583.49,185.77,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
272,,40,272,Copper,"Cray XE6m-200, Opteron 6276 16C 2.300GHz, Cray Gemini interconnect",ERDC ORC,Cray Inc.,United States,2012,Government,14976,0,107653,137779,78.13,0,0,,,MPP,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Cray Linux Environment ,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Cray XE6m-200,Cray XE,Cray Interconnect,Cray Gemini interconnect,North America,Americas
273,,40,273,PLCI+PLCH,"PowerEdge M610 Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR",Saudi Aramco,Dell,Saudi Arabia,2012,Industry,12240,0,107200,143453,74.73,1565184,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),PowerEdge M610 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband QDR,Western Asia,Asia
274,169,34,39,,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at Universitaet Hannover / RRZN,SGI,Germany,2009,Academic,10240,0,107100,120729.6,88.71,1535480,0,,,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
275,170,34,40,,"SGI Altix ICE 8200EX, Xeon QC E5472 3.0 GHz/X5570 2.93 GHz",HLRN at ZIB/Konrad Zuse-Zentrum fuer Informationstechnik,SGI,Germany,2009,Academic,10240,0,107100,120729.6,88.71,1535480,0,,,MPP,Xeon X5570 4C 2.930GHz,Intel Nehalem,2930,SLES10 + SGI ProPack 5,Linux,None,4,Xeon 5500-series (Nehalem-EP),SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
276,171,38,110,Bull Benchmarks SuperComputer I,"Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR",Bull,Bull SA,France,2011,Vendor,5760,0,106998,124416,86,0,0,,,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
277,,40,277,Chundoong,"Chundoong Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, AMD Radeon HD 7970",Seoul National University,ManyCoreSoft,"Korea, South",2012,Academic,8064,7168,106800,226464,47.16,825344,0,72.8,1467.03,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,AMD Radeon HD 7970,8,Intel Xeon E5,Chundoong Cluster,Chundoong Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
278,,40,278,,"Cluster Platform 4000 BL685c, Opteron 6140 8C 2.600GHz, Gigabit Ethernet",Electrionic Industry,Hewlett-Packard,United States,2012,Industry,20352,0,106316.4,211661,50.23,0,0,,,Cluster,Opteron 6140 8C 2.600GHz,AMD x86_64,2600,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
279,173,31,11,,"SGI Altix ICE 8200EX, Xeon quad core 3.0 GHz",Total Exploration Production,SGI,France,2008,Industry,10240,0,106100,122880,86.34,1535480,0,442,240.05,MPP,Xeon E5450 4C 3.000GHz,Intel Core,3000,SLES10 + SGI ProPack 5,Linux,None,4,"Xeon 5400-series ""Harpertown""",SGI ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
280,174,36,67,Muir,"Dell Xanadu 3 Cluster, Xeon X5660 2.8 Ghz, QLogic InfiniBand QDR",Lawrence Livermore National Laboratory,Dell,United States,2010,Research,15000,0,105900,168000,63.04,1476000,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Dell Xanadu 3 Cluster,Dell Xanadu,Infiniband,Infiniband QDR,North America,Americas
281,,40,281,,"BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband",Electronics,IBM,United States,2012,Industry,12264,0,104885,130489,80.38,0,0,402.41,260.64,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
282,,40,282,,"BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband",Electronics,IBM,United States,2012,Industry,12264,0,104885,130489,80.38,0,0,402.41,260.64,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,North America,Americas
283,175,38,213,,"iDataPlex DX360M3, Xeon X5670 6C 2.93 GHz, Infiniband QDR",IBM Development Engineering,IBM,United States,2011,Industry,10128,0,104755,118700.16,88.25,0,0,316.5,330.98,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
284,,40,284,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,21652,0,104746,207859,50.39,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
285,,40,285,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,21652,0,104746,207859,50.39,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
286,176,38,171,,"iDataPlex DX360M3, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet",Financial Services (H),IBM,United States,2011,Industry,18576,0,104676.26,187989.12,55.68,0,0,534.06,196,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
287,,40,287,,"Cluster Platform 3000 BL490c G7, Xeon X5670 6C 2.930GHz, Gigabit Ethernet",Logistic Services (C),Hewlett-Packard,Germany,2012,Industry,17538,0,104401.4,205545,50.79,0,0,,,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL490c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
288,,40,288,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",IT Services Provider (B),Hewlett-Packard,India,2012,Industry,9600,0,104189,199680,52.18,0,0,,,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,South-central Asia,Asia
289,,40,289,,"Cluster Platform 4000 BL685c G7, Opteron 6136 8C 2.400GHz, Gigabit Ethernet",Web Company (C),Hewlett-Packard,China,2012,Industry,21440,0,103720.5,205824,50.39,0,0,,,Cluster,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,None,8,"Opteron 6100-series ""Magny-Cours"" ",Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
290,177,38,114,,"Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090",Barcelona Supercomputing Center,Bull SA,Spain,2011,Academic,5544,4032,103200,182881.44,56.43,437760,0,81.5,1266.26,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,NVIDIA 2090,6,Xeon 5600-series (Westmere-EP),Bullx B505,Bull Bullx,Infiniband,Infiniband QDR,Southern Europe,Europe
291,,40,291,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,19200,0,103084,204288,50.46,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
292,,40,292,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66GHz, Gigabit Ethernet",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,19200,0,103084,204288,50.46,0,0,,,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
293,178,32,19,,"DeepComp 7000, HS21/x3950 Cluster, Xeon QC HT 3 GHz/2.93 GHz, Infiniband","Computer Network Information Center, Chinese Academy of Science",Lenovo,China,2008,Academic,12216,0,102800,145965,70.43,1600000,0,,,Cluster,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Lenovo DeepComp 7000,Lenovo Cluster,Infiniband,Infiniband,Eastern Asia,Asia
294,,40,294,,"HP DL160 Cluster G6, Xeon E5645 6C 2.40GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2012,Industry,21216,0,102637,203674,50.39,0,0,,,Cluster,Xeon E5645 6C 2.400GHz,Intel Nehalem,2400,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
295,179,39,179,Olympus,"Atipa Cluster, Opteron 6272 16C 2.100GHz, Infiniband QDR",DOE/SC/Pacific Northwest National Laboratory,Atipa Technology,United States,2012,Research,19200,0,102200,161280,63.37,1700000,0,,,Cluster,Opteron 6272 16C 2.100GHz,AMD x86_64,2100,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",Atipa Cluster,Atipa Cluster,Infiniband,Infiniband QDR,North America,Americas
296,180,33,32,Hera,"Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz, Infiniband",Lawrence Livermore National Laboratory,Appro International,United States,2009,Research,13552,0,102200,127200,80.35,1651780,0,,,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Redhat Linux,Linux,None,4,Opteron Quad Core,Appro XtremeServers,Appro XtremeServer,Infiniband,Infinband DDR 4x,North America,Americas
297,,40,297,,"xSeries x3650M3 Cluster, Xeon X5650 6C 2.660GHz, Infiniband",Defence,IBM,Australia,2012,Government,10776,0,101998,114657,88.96,0,0,334.06,305.33,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Infiniband,Infiniband,Australia and New Zealand,Oceania
298,,40,298,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Gigabit Ethernet",Financial Institution,IBM,United Kingdom,2012,Industry,18080,0,101881,376064,27.09,0,0,375.56,271.28,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
299,181,34,45,T2K Open Supercomputer (Todai Combined Cluster),Hitachi opteron QC 2.3 GHz Myrinet 10G,"Information Technology Center, The University of Tokyo",Hitachi,Japan,2009,Academic,15104,0,101741,138956,73.22,1740800,0,831,122.43,Cluster,Opteron Quad Core 4C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,4,Opteron Quad Core,Hitachi Cluster,Hitachi Cluster,Myrinet,Myrinet 10G,Eastern Asia,Asia
300,182,35,54,,"Cluster Platform 3000 BL 2x220, Xeon E5450 4C 3.000GHz, Infiniband QDR",Kurchatov Institute Moscow,Hewlett-Packard,Russia,2010,Research,10304,0,101213.2,123648,81.86,0,0,,,Cluster,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL 2x220,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,Eastern Europe,Europe
301,183,39,183,,"HA8000-tc/HT225, Opteron 6276 16C 2.300GHz, Infiniband QDR","University of Tokyo/Human Genome Center, IMS",Hitachi,Japan,2012,Academic,16128,0,100600,148378,67.8,1152000,0,,,Cluster,Opteron 6276 16C 2.300GHz,AMD x86_64,2300,Linux,Linux,None,16,"Opteron 6200 Series ""Interlagos""",HA8000-tc/HT225,Hitachi Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
302,184,36,73,Edge,"Appro GreenBlade Cluster, Xeon X5660 6C 2.80 GHz, Infiniband QDR, NVIDIA 2050",Lawrence Livermore National Laboratory,Appro International,United States,2010,Research,8240,5768,100500,239866,41.9,1414656,0,,,Cluster,Xeon X5660 6C 2.800GHz,Intel Nehalem,2800,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Appro GreenBlade Cluster,Appro Cluster,Infiniband,Infiniband QDR,North America,Americas
303,185,37,87,SKIF Aurora,"SKIF Aurora Platform - Intel Xeon X5680, Infiniband QDR",South Ural State University,RSC SKIF,Russia,2011,Academic,8832,0,100400,117000,85.81,1042080,0,,,Cluster,Xeon X5680 6C 3.330GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),SKIF Aurora Platform,NOW - Intel,Infiniband,Infiniband QDR,Eastern Europe,Europe
304,186,38,295,,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet",Network Company,IBM,China,2011,Industry,17808,0,100349,180216.96,55.68,0,0,454.21,220.93,Cluster,Xeon E5649 6C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,6,Xeon 5600-series (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
305,,40,305,,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2660 8C 2.200GHz, Gigabit Ethernet",Electrionic Industry,Hewlett-Packard,Sweden,2012,Industry,10848,0,99529.9,190925,52.13,0,0,,,Cluster,Xeon E5-2660 8C 2.200GHz,Intel SandyBridge,2200,Linux,Linux,None,8,Intel Xeon E5,Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
306,,40,306,,"Cluster Platform 3000 BL460c G7, Xeon E5640 4C 2.670GHz, Gigabit Ethernet",Cerner Corp.,Hewlett-Packard,United States,2012,Industry,21612,0,98453.7,230816,42.65,0,0,,,Cluster,Xeon E5640 4C 2.670GHz,Intel Nehalem,2670,Linux,Linux,None,4,Xeon 5600-series (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
307,187,34,46,VIP,"Power 575, p6 4.7 GHz, Infiniband",Max-Planck-Gesellschaft MPI/IPP,IBM,Germany,2009,Research,6848,0,98423,128742.4,76.45,0,0,1095,89.88,MPP,POWER6 2C 4.700GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Western Europe,Europe
308,189,37,321,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Internet Service,IBM,China,2011,Industry,17344,0,97959,175521.28,55.81,0,0,526.1,186.2,Cluster,Xeon E5540 4C 2.530GHz,Intel Nehalem,2530,Linux,Linux,None,4,Xeon 5500-series (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
